TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1487113441,"North Station","173","Newburyport",1487113500,0,"5","All Aboard"
1487113441,"North Station","295","Reading",1487113500,600,,"Late"
1487113441,"North Station","425","Wachusett",1487114700,0,,"On Time"
1487113441,"North Station","121","Rockport",1487114700,0,,"On Time"
1487113441,"North Station","219","Haverhill",1487114700,0,,"On Time"
1487113441,"North Station","337","Lowell",1487115000,0,,"On Time"
1487113441,"North Station","175","Newburyport",1487115900,0,,"On Time"
1487113441,"North Station","221","Haverhill",1487116500,0,,"On Time"
1487113441,"North Station","427","Wachusett",1487117700,0,,"On Time"
1487113441,"North Station","123","Rockport",1487117700,0,,"On Time"
1487113441,"North Station","297","Reading",1487118000,0,,"On Time"
1487113441,"North Station","339","Lowell",1487118300,0,,"On Time"
1487113441,"North Station","177","Newburyport",1487118900,0,,"On Time"
1487113441,"North Station","223","Haverhill",1487119200,0,,"On Time"
1487113441,"North Station","341","Lowell",1487122500,0,,"On Time"
1487113441,"North Station","429","Wachusett",1487123100,0,,"On Time"
1487113441,"North Station","125","Rockport",1487123100,0,,"On Time"
1487113441,"North Station","179","Newburyport",1487124600,0,,"On Time"
1487113441,"North Station","225","Haverhill",1487125200,0,,"On Time"
1487113441,"South Station","827","Providence",1487113800,0,"9","Now Boarding"
1487113441,"South Station","067","Plymouth",1487114100,0,,"On Time"
1487113441,"South Station","723","Forge Park / 495",1487114400,0,,"On Time"
1487113441,"South Station","527","Worcester / Union Station",1487114400,0,,"On Time"
1487113441,"South Station","921","Stoughton",1487115000,0,,"On Time"
1487113441,"South Station","779","Readville",1487115000,0,,"On Time"
1487113441,"South Station","623","Needham Heights",1487115360,0,,"On Time"
1487113441,"South Station","089","Greenbush",1487115480,0,,"On Time"
1487113441,"South Station","529","Worcester / Union Station",1487115900,0,,"On Time"
1487113441,"South Station","829","Wickford Junction",1487116200,0,,"On Time"
1487113441,"South Station","025","Middleboro/Lakeville",1487116320,0,,"On Time"
1487113441,"South Station","781","Readville",1487117700,0,,"On Time"
1487113441,"South Station","923","Stoughton",1487118000,0,,"On Time"
1487113441,"South Station","051","Kingston",1487118540,0,,"On Time"
1487113441,"South Station","831","Providence",1487118600,0,,"On Time"
1487113441,"South Station","625","Needham Heights",1487118600,0,,"On Time"
1487113441,"South Station","551","",1487118900,0,,"On Time"
1487113441,"South Station","725","Forge Park / 495",1487119500,0,,"On Time"
1487113441,"South Station","531","Worcester / Union Station",1487119500,0,,"On Time"
